hex,alpha entity
0x2147,&exponentiale;
0x2252,&fallingdotseq;
0x0444,&fcy;
0x2640,&female;
0xfb03,&ffilig;
0xfb00,&fflig;
0xfb04,&ffllig;
0x1d523,&ffr;
0xfb01,&filig;
0x0066,&fjlig;
0x266d,&flat;
0xfb02,&fllig;
0x25b1,&fltns;
0x0192,&fnof;
0x1d557,&fopf;
0x2200,&forall;
0x22d4,&fork;
0x2ad9,&forkv;
0x2a0d,&fpartint;
0x00bd,&frac12;
0x2153,&frac13;
0x00bc,&frac14;
0x2155,&frac15;
0x2159,&frac16;
0x215b,&frac18;
0x2154,&frac23;
0x2156,&frac25;
0x00be,&frac34;
0x2157,&frac35;
0x215c,&frac38;
0x2158,&frac45;
0x215a,&frac56;
0x215d,&frac58;
0x215e,&frac78;
0x2044,&frasl;
0x2322,&frown;
0x1d4bb,&fscr;
0x2267,&gE;
0x2a8c,&gEl;
0x01f5,&gacute;
0x03b3,&gamma;
0x03dd,&gammad;
0x2a86,&gap;
0x011f,&gbreve;
0x011d,&gcirc;
0x0433,&gcy;
0x0121,&gdot;
0x2265,&ge;
0x22db,&gel;
0x2265,&geq;
0x2267,&geqq;
0x2a7e,&geqslant;
0x2a7e,&ges;
0x2aa9,&gescc;
0x2a80,&gesdot;
0x2a82,&gesdoto;
0x2a84,&gesdotol;
0x22db,&gesl;
0x2a94,&gesles;
0x1d524,&gfr;
0x226b,&gg;
0x22d9,&ggg;
0x2137,&gimel;
0x0453,&gjcy;
